Cliente,Tipo_Cliente,Items,Ventas_Netas,Metodo_Pago,Genero,Estado_Civil,Edad
183,Regular,1,"44,5",Star Card,Mujer,Casado,36
184,Regular,1,"39,5",MasterCard,Mujer,Casado,44
185,Promocional,7,266,American Express,Mujer,Casado,50
186,Promocional,4,"111,14",Star Card,Mujer,Casado,28
187,Regular,5,"159,75",Star Card,Mujer,Casado,72
188,Regular,2,89,Discover,Mujer,Casado,54
189,Promocional,2,"46,5",Star Card,Mujer,Casado,32
190,Regular,1,"39,5",Discover,Hombre,Casado,32
191,Promocional,10,"287,59",Star Card,Mujer,Casado,52
192,Promocional,5,"118,8",Star Card,Hombre,Casado,68
193,Promocional,2,"23,8",Star Card,Mujer,Casado,38
194,Promocional,4,113,Star Card,Mujer,Soltero,50
195,Promocional,3,"86,8",Star Card,Mujer,Casado,38
196,Promocional,6,"44,8",Star Card,Mujer,Casado,56
197,Promocional,2,"39,6",Star Card,Mujer,Casado,60
198,Regular,1,40,Star Card,Mujer,Casado,34
199,Promocional,2,"45,22",Star Card,Mujer,Casado,74
200,Promocional,13,"198,8",Star Card,Mujer,Casado,42
